Rank,Name,Elevation,Prominence,Latitude,Longitude,State
51,BLACK DOME,3990,2080,42.27,-74.12333333,NY
52,BLAKE PK,3986,591,44.08111111,-73.845,NY
53,MACNAUGHTON MTN,3982,849,44.13972222,-74.06472222,NY
54,GREEN MTN,3959,859,44.18194444,-73.715,NY
55,THOMAS COLE MTN,3950,220,42.27083333,-74.13666667,NY
56,BLACKHEAD,3950,520,42.26777778,-74.10527778,NY
57,CLIFF MTN,3943,482,44.10333333,-73.97555556,NY
58,MCDONNEL MTN,3940,250,44.08055556,-73.93472222,NY
59,SNOWY MTN,3901,2243,43.7,-74.38694444,NY
60,MOOSE MTN,3897,1388,44.35083333,-74.00361111,NY
61,UNNAMED (LOST POND PK),3891,463,44.16416667,-74.03472222,NY
62,WEST KILL MTN,3890,1240,42.16777778,-74.29027778,NY
63,KILBURN MTN,3881,1700,44.30277778,-73.8825,NY
64,BLUE RIDGE,3881,1096,43.62944444,-74.48222222,NY
65,NORTH RIVER MTNS (N PK),3877,1433,44.03527778,-73.9825,NY
66,DOUBLETOP MTN,3870,1200,42.0275,-74.52861111,NY
67,CORNELL MTN,3870,620,42.00138889,-74.35722222,NY
68,GRAHAM MTN,3868,898,42.03944444,-74.54972222,NY
69,PANTHER MTN,3861,1194,43.73666667,-74.39194444,NY
70,SENTINEL MTN,3858,332,44.30611111,-73.85277778,NY
71,SAWTOOTH MTNS (M PK) (SAWTOOTH 1),3854,1476,44.18861111,-74.12166667,NY
72,RIST MTN,3854,262,44.02777778,-73.98777778,NY
73,PLATEAU MTN,3850,1780,42.13805556,-74.17472222,NY
74,HOWARD MTN,3848,256,44.15805556,-73.89138889,NY
75,TABLE MTN,3847,657,41.95833333,-74.40527778,NY
76,MCKENZIE MTN,3832,634,44.33611111,-74.03277778,NY
77,AVALANCHE MTN,3832,404,44.13611111,-73.97,NY
78,LYON MTN (NE PK),3830,2247,44.70305556,-73.86472222,NY
79,TR MTN,3822,328,44.14388889,-73.93583333,NY
80,SUGARLOAF MTN,3810,1200,42.13111111,-74.15083333,NY
81,LYON MTN AVERILL PK,3803,353,44.69277778,-73.88138889,NY
