Rank,Name,Elevation,Latitude,Longitude,State,Prominence
1,"MT KATAHDIN, BAXTER PK",5268,45.90416667,-68.92194444,ME,4290
2,MT KATAHDIN (HAMLIN PK),4756,45.92416667,-68.92833333,ME,
3,SUGARLOAF MTN,4250,45.03166667,-70.31361111,ME,3180
4,CROCKER MTN,4228,45.04694444,-70.38333333,ME,
5,OLD SPECK MTN,4170,44.57083333,-70.95416667,ME,2720
6,NORTH BROTHER,4151,45.95694444,-68.98583333,ME,
7,BIGELOW MTN WEST PK,4145,45.14666667,-70.28861111,ME,2855
8,SADDLEBACK MTN,4120,44.93638889,-70.505,ME,2446
9,BIGELOW MTN (AVERY PK),4090,45.14666667,-70.27583333,ME,
10,SOUTH CROCKER MTN,4050,45.03611111,-70.37638889,ME,
11,MT ABRAHAM,4050,44.97277778,-70.32694444,ME,
12,SADDLEBACK MTN THE HORN,4041,44.95111111,-70.4875,ME,
13,SPAULDING MTN,4010,45.00277778,-70.33388889,ME,
14,MT REDINGTON,4010,45.025,-70.38916667,ME,
